STT,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
46,Lucas Bergvall,SWE,MF,Tottenham Hotspur,20-098,2006,10.6,2,0,0,24,7,3,18,3,14,N/a,N/a,0,Matches
47,Beto,GNB,FW,Everton,28-100,1998,16.5,3,0,0,31,12,9,2,1,5,N/a,N/a,0,Matches
48,Jaka Bijol,SVN,DF,Leeds United,27-095,1999,18.2,3,0,0,15,10,0,1,22,13,N/a,N/a,0,Matches
49,Yves Bissouma,MLI,MF,Tottenham Hotspur,29-254,1996,6.7,4,0,0,8,6,0,1,8,11,N/a,N/a,0,Matches
50,Marco Bizot,NED,GK,Aston Villa,35-062,1991,5.5,2,0,0,1,1,0,0,0,0,N/a,N/a,0,Matches
51,Oscar Bobb,NOR,"MF,FW",Manchester City,22-303,2003,5.2,1,0,0,5,9,0,5,3,5,N/a,N/a,0,Matches
52,Oscar Bobb,NOR,MF,Fulham,22-303,2003,4.7,0,0,0,4,7,0,5,4,5,N/a,N/a,0,Matches
53,Lamare Bogarde,NED,"MF,DF",Aston Villa,22-126,2004,10.9,5,0,0,17,18,0,2,3,19,N/a,N/a,0,Matches
54,Jayden Bogle,ENG,"MF,DF",Leeds United,25-288,2000,30.2,6,0,0,38,28,10,64,29,40,N/a,N/a,0,Matches
55,Sebastiaan Bornauw,BEL,DF,Leeds United,27-050,1999,3.4,1,0,0,5,0,0,1,5,2,N/a,N/a,0,Matches
56,Olivier Boscagli,FRA,DF,Brighton,28-174,1997,8.9,2,0,0,7,10,0,15,16,11,N/a,N/a,0,Matches
57,Sven Botman,NED,DF,Newcastle United,26-119,2000,18.4,2,0,0,11,18,0,2,21,12,N/a,N/a,1,Matches
58,Jarrod Bowen,ENG,"MF,FW",West Ham United,29-142,1996,35.8,4,0,0,19,46,17,139,27,27,N/a,N/a,0,Matches
59,Conor Bradley,NIR,DF,Liverpool,22-306,2003,10.3,5,0,0,18,20,1,23,12,15,N/a,N/a,0,Matches
60,Jarrad Branthwaite,ENG,DF,Everton,23-318,2002,7.6,1,0,0,3,1,1,3,11,6,N/a,N/a,0,Matches
61,Brian Brobbey,NED,FW,Sunderland,24-099,2002,19.9,6,0,0,30,33,8,2,0,2,N/a,N/a,0,Matches
62,Armando Broja,ALB,FW,Burnley,24-243,2001,9.6,0,0,0,14,16,6,3,3,3,N/a,N/a,0,Matches
63,David Brooks,WAL,MF,Bournemouth,28-307,1997,13.3,7,0,0,11,13,2,59,4,12,N/a,N/a,0,Matches
64,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,27-234,1998,11.3,0,0,0,1,0,4,41,6,3,N/a,N/a,0,Matches
65,Emi Buendía,ARG,MF,Aston Villa,29-137,1996,17.6,6,0,0,37,38,1,9,9,21,N/a,N/a,0,Matches
66,Hugo Bueno,ESP,"MF,DF",Wolves,23-235,2002,26.0,3,0,0,17,24,3,164,33,35,N/a,N/a,0,Matches
67,Santiago Bueno,URU,DF,Wolves,27-183,1998,26.4,4,0,0,25,11,1,5,22,30,N/a,N/a,0,Matches
68,Dan Burn,ENG,DF,Newcastle United,34-002,1992,23.3,11,1,1,36,12,3,12,19,25,N/a,N/a,0,Matches
69,Moisés Caicedo,ECU,MF,Chelsea,24-190,2001,29.1,11,1,0,51,49,0,8,56,47,N/a,N/a,0,Matches
70,Tom Cairney,SCO,MF,Fulham,35-111,1991,8.3,3,0,0,9,11,0,6,2,4,N/a,N/a,0,Matches
71,Riccardo Calafiori,ITA,DF,Arsenal,23-357,2002,17.6,5,0,0,26,9,4,21,13,19,N/a,N/a,0,Matches
72,Dominic Calvert-Lewin,ENG,FW,Leeds United,29-056,1997,27.5,2,0,0,43,36,22,8,2,4,N/a,N/a,0,Matches
73,Jaydee Canvot,FRA,DF,Crystal Palace,19-286,2006,12.8,3,0,0,12,6,0,4,9,20,N/a,N/a,0,Matches
74,Fabio Carvalho,POR,MF,Brentford,23-254,2002,1.1,0,0,0,0,0,0,5,0,2,N/a,N/a,0,Matches
75,Casemiro,BRA,MF,Manchester Utd,34-077,1992,27.7,10,1,1,45,35,5,19,28,45,N/a,N/a,0,Matches
76,Matty Cash,POL,DF,Aston Villa,28-277,1997,32.0,8,0,0,41,30,4,128,23,31,N/a,N/a,0,Matches
77,Timothy Castagne,BEL,"DF,MF",Fulham,30-157,1995,18.5,4,0,0,18,8,0,43,26,21,N/a,N/a,0,Matches
78,Valentín Castellanos,ARG,FW,West Ham United,27-220,1998,13.7,6,0,0,26,12,7,6,4,8,N/a,N/a,0,Matches
79,Trevoh Chalobah,ENG,DF,Chelsea,26-310,1999,30.4,3,1,0,20,18,2,5,36,22,N/a,N/a,0,Matches
80,Rayan Cherki,FRA,MF,Manchester City,22-267,2003,19.0,1,0,0,17,33,1,75,7,16,N/a,N/a,0,Matches
81,Federico Chiesa,ITA,MF,Liverpool,28-198,1997,3.5,3,0,0,10,6,2,16,4,5,N/a,N/a,0,Matches
82,Ryan Christie,SCO,MF,Bournemouth,31-078,1995,11.0,3,1,0,16,22,1,17,11,20,N/a,N/a,0,Matches
83,Samuel Chukwueze,NGA,MF,Fulham,26-354,1999,11.9,0,0,0,5,12,3,43,6,4,N/a,N/a,0,Matches
84,Dennis Cirkin,LVA,DF,Sunderland,24-035,2002,3.6,2,0,0,4,2,0,3,5,5,N/a,N/a,0,Matches
85,Nathaniel Clyne,ENG,MF,Crystal Palace,35-036,1991,5.5,1,0,0,4,1,0,14,7,9,N/a,N/a,0,Matches
86,Nathan Collins,IRL,DF,Brentford,25-011,2001,31.1,6,0,0,19,17,2,1,34,11,N/a,N/a,1,Matches
87,Levi Colwill,ENG,DF,Chelsea,23-074,2003,1.5,0,0,0,0,1,0,1,3,1,N/a,N/a,0,Matches
88,Lewis Cook,ENG,"MF,DF",Bournemouth,29-097,1997,9.7,1,1,0,8,5,0,44,21,17,N/a,N/a,0,Matches
89,Diego Coppola,ITA,DF,Brighton,22-134,2003,2.2,2,0,0,4,0,0,0,1,2,N/a,N/a,0,Matches
90,Marc Cucurella,ESP,DF,Chelsea,27-293,1998,28.1,7,1,0,44,26,4,38,27,37,N/a,N/a,0,Matches
91,Jorge Cuenca,ESP,DF,Fulham,26-175,1999,10.4,5,0,0,9,1,1,2,15,10,N/a,N/a,0,Matches
92,Josh Cullen,IRL,MF,Burnley,30-034,1996,16.8,2,0,0,16,18,0,12,24,19,N/a,N/a,1,Matches
93,Jair Cunha,BRA,DF,Nottingham Forest,21-065,2005,5.0,0,0,0,0,6,0,2,4,5,N/a,N/a,0,Matches
94,Matheus Cunha,BRA,"MF,FW",Manchester Utd,26-349,1999,26.8,4,0,0,27,54,2,47,21,22,N/a,N/a,0,Matches
95,Diogo Dalot,POR,"DF,MF",Manchester Utd,27-054,1999,28.0,5,0,0,24,14,4,54,25,29,N/a,N/a,0,Matches
96,Mikkel Damsgaard,DEN,MF,Brentford,25-312,2000,21.7,0,0,0,18,22,4,88,24,33,N/a,N/a,0,Matches
97,Kevin Danso,AUT,DF,Tottenham Hotspur,27-234,1998,13.6,7,0,0,18,10,0,7,18,12,N/a,N/a,0,Matches
98,Karl Darlow,WAL,GK,Leeds United,35-215,1990,19.0,1,0,0,0,6,0,0,0,0,N/a,N/a,0,Matches
99,Ben Davies,WAL,DF,Tottenham Hotspur,33-017,1993,1.5,1,0,0,2,0,0,3,1,4,N/a,N/a,0,Matches
100,Maxim De Cuyper,BEL,"DF,MF",Brighton,25-140,2000,14.2,2,0,0,16,20,1,66,9,10,N/a,N/a,0,Matches
101,Liam Delap,ENG,FW,Chelsea,23-092,2003,11.3,3,0,0,22,18,4,6,1,3,N/a,N/a,0,Matches
102,Sepp van den Berg,NED,DF,Brentford,24-142,2001,29.6,2,0,0,14,11,0,0,26,8,N/a,N/a,0,Matches
103,Justin Devenny,NIR,"MF,FW",Crystal Palace,22-212,2003,7.8,0,0,0,10,9,1,14,1,11,N/a,N/a,0,Matches
104,Kiernan Dewsbury-Hall,ENG,MF,Everton,27-247,1998,27.3,6,0,0,30,43,2,105,14,24,N/a,N/a,0,Matches
105,Bafodé Diakité,FRA,DF,Bournemouth,25-125,2001,14.2,1,0,0,8,4,2,1,10,15,N/a,N/a,0,Matches
106,Amad Diallo,CIV,MF,Manchester Utd,23-304,2002,24.0,2,0,0,20,37,12,45,13,22,N/a,N/a,0,Matches
107,Habib Diarra,SEN,MF,Sunderland,22-128,2004,15.1,5,0,0,18,26,1,27,4,7,N/a,N/a,0,Matches
108,Rúben Dias,POR,DF,Manchester City,28-362,1997,22.8,3,0,0,14,9,0,9,22,6,N/a,N/a,0,Matches
109,Tyler Dibling,ENG,MF,Everton,20-060,2006,4.0,2,0,0,11,11,0,7,6,3,N/a,N/a,0,Matches
110,Lucas Digne,FRA,DF,Aston Villa,32-295,1993,19.6,3,0,0,12,12,3,106,12,25,N/a,N/a,0,Matches
111,Issa Diop,MAR,DF,Fulham,29-122,1997,7.1,2,0,0,8,3,0,1,4,2,N/a,N/a,0,Matches
112,El Hadji Malick Diouf,SEN,"DF,MF",West Ham United,21-134,2004,28.1,5,0,0,26,23,2,94,29,19,N/a,N/a,0,Matches
113,Axel Disasi,FRA,DF,West Ham United,28-061,1998,11.9,1,0,0,5,3,1,0,8,9,N/a,N/a,1,Matches
114,Matt Doherty,IRL,"DF,MF",Wolves,34-115,1992,8.7,4,0,0,16,6,0,8,7,8,N/a,N/a,0,Matches
115,Jeremy Doku,BEL,"MF,FW",Manchester City,23-349,2002,18.5,0,0,0,23,59,3,59,12,16,N/a,N/a,0,Matches
116,Nicolás Domínguez,ARG,MF,Nottingham Forest,27-317,1998,12.0,3,0,0,16,10,0,13,6,25,N/a,N/a,0,Matches
117,Gianluigi Donnarumma,ITA,GK,Manchester City,27-075,1999,32.0,7,0,0,0,3,0,0,1,0,N/a,N/a,0,Matches
118,Patrick Dorgu,DEN,MF,Manchester Utd,21-197,2004,15.3,5,0,0,23,44,7,56,14,30,N/a,N/a,0,Matches
119,Max Dowman,ENG,MF,Arsenal,16-131,2009,1.1,0,0,0,1,6,0,6,1,2,N/a,N/a,0,Matches
120,Radu Drăgușin,ROU,DF,Tottenham Hotspur,24-097,2002,5.7,0,0,0,9,1,0,3,16,3,N/a,N/a,0,Matches
121,Martin Dúbravka,SVK,GK,Burnley,37-116,1989,35.0,1,0,0,0,8,0,0,0,1,N/a,N/a,0,Matches
122,Lewis Dunk,ENG,DF,Brighton,34-171,1991,29.5,10,0,0,13,9,1,5,29,21,N/a,N/a,0,Matches
123,Marcus Edwards,ENG,"MF,FW",Burnley,27-159,1998,11.7,0,0,0,7,18,1,18,3,6,N/a,N/a,0,Matches
124,Hjalmar Ekdal,SWE,DF,Burnley,27-202,1998,17.1,0,0,0,5,7,2,1,12,17,N/a,N/a,0,Matches
125,Hugo Ekitike,FRA,FW,Liverpool,23-325,2002,20.0,0,0,0,35,12,10,7,4,7,N/a,N/a,0,Matches
126,Anthony Elanga,SWE,"FW,MF",Newcastle United,24-014,2002,14.3,0,0,0,8,23,2,80,3,11,N/a,N/a,0,Matches
127,Melker Ellborg,SWE,GK,Sunderland,22-354,2003,3.0,0,0,0,0,1,0,0,0,0,N/a,N/a,0,Matches
128,Harvey Elliott,ENG,MF,Aston Villa,23-037,2003,1.2,0,0,0,0,2,0,3,0,0,N/a,N/a,0,Matches
129,Wataru Endo,JPN,DF,Liverpool,33-091,1993,1.9,1,0,0,2,3,0,3,0,3,N/a,N/a,0,Matches
130,Maxime Estève,FRA,DF,Burnley,23-350,2002,31.7,1,0,0,13,12,0,6,37,24,N/a,N/a,2,Matches
131,Evanilson,BRA,FW,Bournemouth,26-217,1999,28.7,2,0,0,24,32,27,3,4,5,N/a,N/a,0,Matches
132,Eberechi Eze,ENG,"MF,FW",Arsenal,27-316,1998,19.2,1,0,0,14,34,1,8,10,12,N/a,N/a,0,Matches
133,Bruno Fernandes,POR,MF,Manchester Utd,31-245,1994,32.0,5,0,0,24,35,4,168,20,32,N/a,N/a,0,Matches
134,Mateus Fernandes,POR,MF,West Ham United,21-305,2004,31.5,7,0,0,47,48,0,49,33,61,N/a,N/a,0,Matches
135,Enzo Fernández,ARG,MF,Chelsea,25-114,2001,32.6,9,0,0,32,42,1,83,19,23,N/a,N/a,0,Matches
136,Zian Flemming,NED,FW,Burnley,27-283,1998,17.7,4,0,0,47,25,3,6,6,8,N/a,N/a,0,Matches
137,Jack Fletcher,ENG,MF,Manchester Utd,19-053,2007,1.2,0,0,0,2,1,0,0,1,1,N/a,N/a,0,Matches
138,Phil Foden,ENG,MF,Manchester City,25-348,2000,20.9,4,0,0,17,30,2,111,9,14,N/a,N/a,0,Matches
139,Wesley Fofana,FRA,DF,Chelsea,25-145,2000,17.6,7,1,1,21,15,1,2,32,11,N/a,N/a,0,Matches
140,Lyle Foster,RSA,"FW,MF",Burnley,25-250,2000,15.2,4,0,0,22,13,11,6,4,12,N/a,N/a,0,Matches
141,Jeremie Frimpong,NED,"DF,MF",Liverpool,25-152,2000,11.4,1,0,0,8,21,4,50,6,9,N/a,N/a,0,Matches
142,Niclas Füllkrug,GER,FW,West Ham United,33-091,1993,4.5,0,0,0,11,1,2,0,2,1,N/a,N/a,0,Matches
143,Cody Gakpo,NED,"MF,FW",Liverpool,27-004,1999,28.6,3,0,0,42,42,26,86,11,15,N/a,N/a,0,Matches
144,Conor Gallagher,ENG,MF,Tottenham Hotspur,26-094,2000,10.3,2,0,0,17,20,1,18,16,10,N/a,N/a,0,Matches
145,Idrissa Gana Gueye,SEN,MF,Everton,36-227,1989,23.3,1,1,0,21,31,0,19,29,21,N/a,N/a,0,Matches
146,Alejandro Garnacho,ARG,MF,Chelsea,21-314,2004,14.1,2,0,0,9,23,2,61,4,12,N/a,N/a,0,Matches
147,James Garner,ENG,"MF,DF",Everton,25-059,2001,35.9,11,0,0,36,37,0,191,54,69,N/a,N/a,0,Matches
148,Lutsharel Geertruida,NED,"DF,MF",Sunderland,25-297,2000,16.8,1,0,0,15,5,1,7,19,20,N/a,N/a,0,Matches
149,Tyrique George,ENG,FW,Chelsea,20-096,2006,1.6,2,0,0,6,1,2,1,0,2,N/a,N/a,0,Matches
150,Tyrique George,ENG,MF,Everton,20-096,2006,1.9,0,0,0,2,0,2,6,2,2,N/a,N/a,0,Matches
151,Morgan Gibbs-White,ENG,MF,Nottingham Forest,26-104,2000,32.4,1,0,0,25,39,5,38,10,15,N/a,N/a,0,Matches
152,Jamie Gittens,ENG,MF,Chelsea,21-276,2004,5.5,0,0,0,6,8,2,13,2,4,N/a,N/a,0,Matches
153,Wilfried Gnonto,ITA,FW,Leeds United,22-187,2003,5.1,3,0,0,7,9,0,17,3,12,N/a,N/a,0,Matches
154,Angel Gomes,ENG,"MF,FW",Wolves,25-253,2000,4.4,1,0,0,6,8,0,12,1,4,N/a,N/a,0,Matches
155,João Gomes,BRA,MF,Wolves,25-088,2001,30.4,10,0,0,66,48,1,31,34,68,N/a,N/a,0,Matches
156,Rodrigo Gomes,POR,"MF,FW",Wolves,22-308,2003,8.8,0,0,0,5,8,3,22,9,15,N/a,N/a,0,Matches
157,Toti Gomes,POR,DF,Wolves,27-115,1999,15.5,2,1,0,11,11,0,11,13,11,N/a,N/a,0,Matches
158,Diego Gómez,PAR,"MF,FW",Brighton,23-045,2003,22.6,9,0,0,49,10,1,22,17,48,N/a,N/a,0,Matches
159,Joe Gomez,ENG,DF,Liverpool,28-353,1997,6.0,3,0,0,12,0,0,15,8,7,N/a,N/a,0,Matches
160,Nicolás González,ESP,MF,Manchester City,24-128,2002,16.4,6,0,0,29,18,0,2,23,29,N/a,N/a,0,Matches
161,Anthony Gordon,ENG,FW,Newcastle United,25-076,2001,19.9,3,1,0,13,40,5,69,3,13,N/a,N/a,0,Matches
162,Ryan Gravenberch,NED,MF,Liverpool,23-360,2002,31.6,5,0,0,35,39,0,7,42,33,N/a,N/a,0,Matches
163,Archie Gray,ENG,"MF,DF",Tottenham Hotspur,20-060,2006,16.3,5,0,0,12,2,0,12,17,8,N/a,N/a,0,Matches
164,Jack Grealish,ENG,MF,Everton,30-243,1995,18.1,5,1,1,13,58,0,39,11,15,N/a,N/a,0,Matches
165,Pascal Groß,GER,MF,Brighton,34-330,1991,16.2,2,0,0,16,12,4,106,9,16,N/a,N/a,0,Matches
166,Brajan Gruda,GER,MF,Brighton,21-345,2004,8.0,2,0,0,11,14,2,14,2,5,N/a,N/a,0,Matches
167,Ilia Gruev,BUL,MF,Leeds United,26-005,2000,14.7,3,0,0,16,9,0,16,14,13,N/a,N/a,0,Matches
168,Gabriel Gudmundsson,SWE,"DF,MF",Leeds United,27-012,1999,29.2,6,1,1,31,56,3,88,28,47,N/a,N/a,1,Matches
169,Marc Guéhi,ENG,DF,Crystal Palace,25-302,2000,20.0,4,0,0,14,18,0,10,24,19,N/a,N/a,0,Matches
170,Marc Guéhi,ENG,DF,Manchester City,25-302,2000,13.0,2,0,0,6,16,0,6,24,10,N/a,N/a,0,Matches
171,Evann Guessand,CIV,MF,Aston Villa,24-314,2001,6.5,0,0,0,11,12,0,10,3,9,N/a,N/a,0,Matches
172,Evann Guessand,CIV,MF,Crystal Palace,24-314,2001,3.3,0,0,0,4,8,0,1,2,2,N/a,N/a,0,Matches
173,Luis Guilherme,BRA,FW,West Ham United,20-091,2006,1.4,0,0,0,0,0,0,0,0,1,N/a,N/a,0,Matches
174,Bruno Guimarães,BRA,MF,Newcastle United,28-176,1997,25.5,5,0,0,38,67,1,74,16,38,N/a,N/a,0,Matches
175,Marc Guiu,ESP,FW,Chelsea,20-127,2006,2.9,1,0,0,9,2,2,0,0,0,N/a,N/a,0,Matches
176,Malo Gusto,FRA,DF,Chelsea,22-357,2003,24.2,5,1,1,20,19,1,58,29,23,N/a,N/a,0,Matches
177,Joško Gvardiol,CRO,DF,Manchester City,24-108,2002,14.5,2,0,0,16,7,0,2,14,13,N/a,N/a,0,Matches
178,Viktor Gyökeres,SWE,FW,Arsenal,27-341,1998,24.4,5,0,0,35,31,4,7,1,5,N/a,N/a,0,Matches
179,Erling Haaland,NOR,FW,Manchester City,25-294,2000,31.8,2,0,0,23,25,4,3,4,7,N/a,N/a,0,Matches
180,Lewis Hall,ENG,DF,Newcastle United,21-245,2004,22.2,3,0,0,16,40,0,95,27,28,N/a,N/a,0,Matches
181,Jack Harrison,ENG,FW,Leeds United,29-172,1996,3.0,0,0,0,1,4,0,17,4,2,N/a,N/a,0,Matches
182,Quilindschy Hartman,NED,DF,Burnley,24-178,2001,20.3,1,0,0,13,3,1,74,32,31,N/a,N/a,0,Matches
183,Jorrel Hato,NED,DF,Chelsea,20-065,2006,11.2,6,0,0,15,2,0,7,13,18,N/a,N/a,0,Matches
184,Kai Havertz,GER,"MF,FW",Arsenal,26-334,1999,5.2,0,0,0,6,8,2,4,0,5,N/a,N/a,0,Matches
185,Ayden Heaven,ENG,DF,Manchester Utd,19-231,2006,10.3,2,0,0,7,9,0,1,1,13,N/a,N/a,1,Matches
186,Jan Paul van Hecke,NED,DF,Brighton,25-337,2000,33.7,9,0,0,27,41,4,21,42,30,N/a,N/a,1,Matches
187,Hwang Hee-chan,KOR,"FW,MF",Wolves,30-105,1996,14.2,4,0,0,27,15,9,18,8,4,N/a,N/a,0,Matches
188,Dean Henderson,ENG,GK,Crystal Palace,29-060,1997,34.0,4,0,0,2,5,0,0,1,0,N/a,N/a,0,Matches
189,Jordan Henderson,ENG,MF,Brentford,35-328,1990,20.4,5,0,0,13,7,1,45,16,13,N/a,N/a,0,Matches
190,Rico Henry,JAM,DF,Brentford,28-307,1997,14.8,2,0,0,15,17,2,26,7,11,N/a,N/a,0,Matches
191,Mads Hermansen,DEN,GK,West Ham United,25-304,2000,16.0,0,0,0,0,2,0,0,0,0,N/a,N/a,0,Matches
192,Aaron Hickey,SCO,"DF,MF",Brentford,23-335,2002,7.3,1,0,0,6,9,0,4,7,7,N/a,N/a,0,Matches
193,James Hill,ENG,DF,Bournemouth,24-121,2002,21.4,3,0,0,13,12,2,11,34,20,N/a,N/a,2,Matches
194,Piero Hincapié,ECU,DF,Arsenal,24-122,2002,18.7,2,0,0,18,14,1,31,24,25,N/a,N/a,1,Matches
195,Jack Hinshelwood,ENG,MF,Brighton,21-030,2005,17.6,0,0,0,32,11,2,7,6,11,N/a,N/a,1,Matches
196,Ki-Jana Hoever,NED,"MF,DF",Wolves,24-113,2002,4.7,0,0,0,3,3,1,22,5,11,N/a,N/a,0,Matches
197,Callum Hudson-Odoi,ENG,MF,Nottingham Forest,25-185,2000,20.5,0,0,0,12,12,2,91,8,7,N/a,N/a,0,Matches
198,Will Hughes,ENG,MF,Crystal Palace,31-024,1995,15.8,7,0,0,21,21,0,40,14,15,N/a,N/a,0,Matches
199,Trai Hume,NIR,"DF,MF",Sunderland,24-054,2002,32.1,9,0,0,30,38,3,84,24,45,N/a,N/a,1,Matches
200,Bashir Humphreys,ENG,"DF,MF",Burnley,23-057,2003,16.4,6,0,0,14,9,2,16,10,17,N/a,N/a,0,Matches
201,Omari Hutchinson,ENG,MF,Nottingham Forest,22-193,2003,17.1,1,0,0,21,23,7,127,9,9,N/a,N/a,0,Matches
202,Igor,BRA,DF,West Ham United,28-093,1998,1.2,0,0,0,1,0,0,0,1,0,N/a,N/a,0,Matches
203,Tim Iroegbunam,ENG,MF,Everton,22-315,2003,14.8,8,0,0,24,20,0,3,20,40,N/a,N/a,0,Matches
